month,avg_temp_f,avg_prcp_in,avg_windspeed_kt,num_readings,temp_change_mom
2025-01,35.38,0.07,7.54,66319,
2025-02,35.31,0.04,6.98,59120,-0.07
2025-03,42.37,0.06,7.26,65761,7.06
2025-04,48.16,0.04,6.9,63690,5.79
2025-05,53.46,0.06,6.91,65311,5.3
2025-06,63.4,0.04,6.9,63410,9.94
2025-07,66.57,0.07,6.18,65764,3.17
2025-08,65.36,0.04,6.44,50625,-1.21
